Symbol,Sector,Name,Position,Company,University,Age,Compensation,Tenure_To,Tenure_From,Work Loction,Affiliation,Gender,DOB,POB,Nationality,Bachelors_University,Bachelors Specialization,Masters_University,Masters Specialization,Performance,Parents,Father Occupation,Mother Occupation, Starting_Age,Employment History
MMM,Industrials,Inge G. Thulin,"Chairman, Chief Executive Officer and President,",3M Company,University of Gothenburg,60,16368708,2014,2012,"3M CenterSt Paul, Minnesota 55144United States",Toro Co.|Handelsh?_?_gskolan vid G?_?_teborgs universitet|G?_?_teborgs universitet|IHM Business School,Male,1954,Sweden,United States of America | Sweden,University of Gothenburg,BS,"Gothenburg School of Business, Economics and Law",MBA,0.063291139,,,,58,3M - 2012-02-24 - Chief Executive Officer - ts_bot - Employment tenure | 
ABT,Health Care,Miles D. White,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",Abbott Laboratories,The Board of Trustees of The Leland Stanford Junior University,58,20865668,2014,1999,"100 Abbott Park RoadAbbott Park, Illinois 60064United States","Motorola Solutions, Inc.|McDonald's Corp.|Tribune Company|The Board of Trustees of The Leland Stanford Junior University|Caterpillar Inc.|MediSense, Inc.|Federal Reserve Bank Of Chicago|Abbott Laboratories, Limited|Stanford Graduate School of Business|Abbott Australasia Pty. Ltd.|The Executives??_??_??_ Club of Chicago|Abbott Diagnostics Inc.|Merrick Ventures, LLC|Abbott Vascular Inc.|Abbott Healthcare Pvt. Ltd.",Male,1956,United States of America,United States of America,Stanford University,BS,Stanford University,MBA,0.114033501,,,,43,"Abbott Laboratories - 1999 - Chief Executive Officer - ts_bot - Employment tenure | Abbott Laboratories - 1998 - Executive Vice President - 1999 - Freebase Data Team - Employment tenure | Abbott Laboratories - 1994 - Senior Vice President, Diagnostics Systems - 1998 - jkatigbac - Employment tenure | Abbott Laboratories - 1993 - Vice President, Diagnostics Systems - 1994 - jkatigbac - Employment tenure | Abbott Laboratories - 1992 - Divisional Vice President and General Manager, Diagnostic Systems and Operations - 1993 - jkatigbac - Employment tenure | Abbott Laboratories - 1984 - 1993 - jkatigbac - Employment tenure | McKinsey & Company - 1980 - 1984 - jkatigbac - Employment tenure | "
ABBV,Health Care,Richard A. Gonzalez,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",AbbVie Inc.,,59,18176794,2014,2010,"1 North Waukegan RoadNorth Chicago, Illinois 60064United States",Abbott Laboratories|Abbott Vascular Inc.|Abbott Ventures Inc.,Male,1955,United States of America,United States of America,University of Houston,Dropout,NA,NA,0.04117262,,,,55,Abbott Laboratories - President - ts_bot - Employment tenure | Abbott Laboratories - Chief Operating Officer - ts_bot - Employment tenure | 
ACN,Information Technology,Pierre   Nanterme,"Chairman and Chief Executive Officer,",Accenture plc,ESSEC,54,14786395,2014,2011,"1 Grand Canal SquareDublin, Co. Dublin 2Ireland",Accenture SCA|ESSEC|Accenture (UK) Limited,Male,1960,France,France,NA,NA,ESSEC Business School,MBA,0.208298765,,,,51,NA
ACE,Financials,Evan G. Greenberg,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",ACE Limited,,58,17785347,2014,2004,"Baerengasse 32Zurich, Zurich 8001Switzerland","The Coca-Cola Company|ACE Tempest Reinsurance Ltd.|American International Group, Inc.|ACE USA, Inc.|The Philharmonic-Symphony Society of New York, Inc.|ACE INA Holdings, Inc.|American Insurance Association (del)|Chartis Property Casualty Company|ACE Bermuda Insurance Ltd.|Assured Guaranty Ltd.|US-China Business Council, Inc.|ACE Group Holdings, Inc.",Male,1956,United States of America,United States of America,New York University,Dropout,NA,NA,0.275094085,Maurice R. Greenberg | ,,,48,ACE Limited - Chief Executive Officer - ts_bot - Employment tenure | ACE Limited - Chairman - ts_bot - Employment tenure | 
ACT,Health Care,Paul M. Bisaro,"Chairman and Chief Executive Officer,",Actavis plc,University of Michigan,52,11381072,2014,2013,"Morris Corporate Center IIIParsippany, New Jersey 07054United States","Barr Pharmaceuticals, Inc.|Zimmer Holdings, Inc.|Teva Women's Health, Inc.|PLIVA Pharmaceuticals, incorporated|Barr Laboratories, Inc.|Forsyth Capital Mortgage Corp.|University of Michigan|Catholic University of America|Generic Pharmaceutical Association|PLIVA-Lachema a.s.|Actavis Limited",Male,1962,United States of America,United States of America,University of Michigan,BS,Catholic University of America,JD,0,,,,51,NA
ADBE,Information Technology,Shantanu   Narayen,"Chief Executive Officer, President and Director,",Adobe Systems Inc.,Bowling Green State University,49,15747478,2014,2005,"345 Park AvenueSan Jose, California 95110United States","Stario.com|Pfizer Inc.|Dell Inc.|Metavante Technologies, Inc.|Bowling Green State University|Haas School of Business|Osmania University|Omniture, Inc.",Male,1965,India,United States of America | India,Osmania University,BS,University of California,MBA,0.051004627,,,,40,Adobe Systems - 2005 - President - faye - Employment tenure | Adobe Systems - Chief Operating Officer - ts_bot - Employment tenure | 
AES,Utilities,Andres Ricardo Gluski Weilert,"Chief Executive Officer, Director and Chairman of Strategy & Investment Committee,",The AES Corporation,University of Virginia,55,8575150,2014,2011,"4300 Wilson BoulevardArlington, Virginia 22203United States","Cliffs Natural Resources Inc.|IPALCO Enterprises, Inc.|AES Gener S.A.|C.A. La Electricidad De Caracas S.A.C.A.|ELETROPAULO-Metropolitana Eletricidade de Sao Paulo SA|AES Tiet??_??_ S.A.|University of Virginia|Wake Forest University|AES China Hydropower Investment Co. Pte. Ltd.",Male,1959,United States of America,United States of America,Wake Forest University,BA,University of Virginia,PhD,-9.704840616,,,,52,NA
AET,Health Care,Mark T. Bertolini,"Chairman, Chief Executive Officer, President, Chairman of Executive Committee and Member of Investment & Finance Committee,",Aetna Inc.,Cornell University,56,13285935,2014,2011,"151 Farmington AvenueHartford, Connecticut 06156United States","New Mountain Capital, LLC|Cornell University|Aetna Life lnsurance Company|Wayne State University|The Partnership for New York City, Inc.",Male,1958,United States of America,United States of America,Wayne State University,BS,Cornell University,MBA,0.014782024,,,,53,Aetna - Executive Vice President - ts_bot - Employment tenure | 
AFL,Financials,Daniel P. Amos,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",AFLAC Inc.,University of Georgia,61,18582055,2014,1990,"1932 Wynnton RoadColumbus, Georgia 31999United States","Southern Company|Synovus Financial Corporation|Georgia Power Co.|CIT Group Inc.|University of Georgia|American Family Life Assurance Company of Columbus|American Family Life Assurance Company of New York|Aflac International, Incorporated|AFLAC Japan",Male,1953,United States of America,United States of America,University of Georgia,BS,Terry College of Business,MBA,0.26071179,,,,37,Aflac - Chief Executive Officer - ts_bot - Employment tenure | Aflac - Chairman - ts_bot - Employment tenure | 
A,Health Care,William P. Sullivan,"Chief Executive Officer, President, Executive Director and Member of Executive Committee,",Agilent Technologies Inc.,"University of California, Davis",64,10235672,2014,2005,"5301 Stevens Creek BoulevardSanta Clara, California 95051United States","Hewlett-Packard Company|URS Corporation|Avnet, Inc.|University of California, Davis|Aerospace Industries Association",Male,1950,United States of America,United States of America,Univerity of California,BS,NA,NA,-1.675770476,,,,55,Agilent Technologies - President - ts_bot - Employment tenure | Agilent Technologies - Chief Executive Officer - ts_bot - Employment tenure | 
GAS,Utilities,John W. Somerhalder II,"Chairman, Chief Executive Officer, President, Member of Executive Committee and Member of Finance & Risk Management Committee,",AGL Resources Inc.,The University of Arizona,57,6284544,2014,2006,"Ten Peachtree Place NEAtlanta, Georgia 30309United States","El Paso Marketing Company, L.L.C.|Gas Technology Institute|El Paso Natural Gas Company, L.L.C|El Paso LLC|Southern Natural Gas Company, LLC|ANR Pipeline Company|Tennessee Gas Pipeline Company, L.L.C.|Colorado Interstate Gas Company, L.L.C.|Northern Illinois Gas Company|The University of Arizona|American Gas Association|Sequent Energy Management, L.P.|Crestwood Midstream Partners LP|Inergy GP, LLC|Crestwood Equity Partners LP|Georgia Research Alliance, Inc.",Male,1957,United States of America,United States of America,University of Arizona,BS,NA,NA,0.00557361,,,,49,AGL Resources - Chief Executive Officer - ts_bot - Employment tenure | AGL Resources - President - ts_bot - Employment tenure | 
APD,Materials,John E. McGlade,"Chairman, Chief Executive Officer, President and Chairman of Executive Committee,",Air Products & Chemicals Inc.,Lehigh University,59,9976558,2014,2007,"7201 Hamilton BoulevardAllentown, Pennsylvania 18195United States",The Goodyear Tire & Rubber Company|Lehigh University|Air Products Singapore Pte. Ltd.,Male,1955,United States of America,United States of America,Lehigh University,BS,Lehigh University,MBA,-0.063770675,,,,52,Air Products & Chemicals - 2007-10 - President - ts_bot - Employment tenure | Air Products & Chemicals - 2007-10 - Chief Operating Officer - ts_bot - Employment tenure | 
ARG,Materials,Michael L. Molinini,"Chief Executive Officer, President and Director,","Airgas, Inc.",Seton Hall University,62,3606007,2014,2012,"259 North Radnor-Chester RoadRadnor, Pennsylvania 19087-5283United States","Airgas East, Inc.|Seton Hall University|Airgas Safety Inc.|Airgas Refrigerants, Inc.|Airgas Carbonic, Inc.",Male,1952,United States of America,United States of America,Seton Hall University,BS,NA,NA,-0.193103448,,,,60,NA
AKAM,Information Technology,F. Thomson Leighton,"Co-Founder, Chief Executive Officer and Director,","Akamai Technologies, Inc.",Princeton University,56,7631580,2014,2013,"8 Cambridge CenterCambridge, Massachusetts 02142United States",Princeton University|Massachusetts Institute of Technology,Male,1958,United States of America,United States of America,Princeton University,BS,Massachusetts Institute of Technology,MBA,0,,,,55,Massachusetts Institute of Technology - Freebase Data Team - Employment tenure | Akamai Technologies - Chief Scientist - mgutierrezt - Employment tenure | 
AA,Materials,"Klaus   Kleinfeld Ph.D., rer. pol., Dipl.-Kfm.","Chairman, Chief Executive Officer, Chairman of Executive Council, Chairman of International Committee and Chairman of Executive Committee,",Alcoa Inc.,University of Wuerzburg (Germany),56,14825806,2014,2008,"390 Park AvenueNew York, New York 10022United States","Siemens Corporation|Bayer AG|Citigroup Inc.|Siemens Aktiengesellschaft|Bayer Pharma AG|Morgan Stanley|Alcoa of Australia Limited|Siemens Power Transmission & Distribution, Inc.|Citigroup Finance Canada Inc.|The Conference Board, Inc.|Alcoa Automotive, Inc.|NYC2012, Inc.|The Partnership for New York City, Inc.|Georg-August-Universit?_?_t G?_?_ttingen|Siemens Business Services AS|University of Wuerzburg (Germany)|Nokia Solutions and Networks Oy|Committee Encouraging Corporate Philanthropy|Alcoa Inversiones Espa?_??_?a S.L.",Male,1958,Germany,Germany,Georg August University of G_ttingen,BS,University of Wurtzburg,PhD,-0.159680955,,,,50,NA
ALXN,Health Care,Leonard   Bell M.D.,"Co-Founder, Chief Executive Officer, Treasurer and Director,","Alexion Pharmaceuticals, Inc.",Brown University,55,13599451,2014,1992,"352 Knotter DriveCheshire, Connecticut 06410United States",The Medicines Company|Brown University|Yale University School Of Medicine,Male,1959,United States of America,United States of America,Brown University,BA,Yale University,MD,1.015247384,,,,33,NA
ATI,Materials,Richard J. Harshman,"Chairman, Chief Executive Officer and President,",Allegheny Technologies Inc.,Robert Morris University,57,4663181,2014,2011,"1000 Six PPG PlacePittsburgh, Pennsylvania 15222United States",Johns Manville Corporation|Ameren Corporation|ATI Ladish LLC|Robert Morris University|ATI Wah Chang Inc.,Male,1957,United States of America,United States of America,Robert Morris University,BS,NA,NA,-0.133559334,,,,54,"Allegheny Technologies - Executive Vice President, Finance - ts_bot - Employment tenure | Allegheny Technologies - Chief Financial Officer - ts_bot - Employment tenure | "
ALLE,Industrials,David D. Petratis,"Chairman, Chief Executive Officer and President,",Allegion Plc,Pepperdine University,55,,2014,2013,"Block DDublin, Co. Dublin 2Ireland","Juno Lighting, Inc.|Gardner Denver Inc.|Schneider Electric S.A.|Pepperdine University|University Of Northern Iowa|Mikron Industries, Inc.|Quanex Building Products Corporation|Nichols Aluminum, LLC",Male,1959,United States of America,United States of America,Univeristy of Norterhn Iowa,BA,Pepperdine University,MBA,0,,,,54,NA
AGN,Health Care,David E. I. Pyott,"Chairman and Chief Executive Officer,",Allergan Inc.,University of Edinburgh in Scotland,59,12029283,2014,1998,"2525 Dupont DriveIrvine, California 92612United States","Pacific Mutual Holding Company|Pacific LifeCorp|Avery Dennison Corporation|Edwards Lifesciences Corp.|Allergan Medical S.A.R.L|Abbott Medical Optics Inc.|Biotechnology Industry Organization|London Business School|University of Edinburgh in Scotland|MAP Pharmaceuticals, Inc.|Allergan Limited",Male,1955,United Kingdom,United Kingdom,Universty of Edinburgh,BS,London Business School,MBA,-5.821201281,,,,43,Allergan - Chairman - ts_bot - Employment tenure | Allergan - Chief Executive Officer - ts_bot - Employment tenure | 
ADS,Information Technology,Edward J. Heffernan,"Chief Executive Officer, President, Director and Member of Executive Committee,",Alliance Data Systems Corporation,Columbia Business School,50,6959844,2014,2009,"7500 Dallas ParkwayPlano, Texas 75024United States","Valor Telecommunications, LLC|ADS Alliance Data Systems, Inc.|Columbia Business School|Wesleyan University|Valor Communications Group Inc.",Male,1964,United States of America,United States of America,Wesleyan University,BS,Columbia University,MBA,0.324670335,,,,45,Alliance Data Systems Corporation - Executive Vice President - ts_bot - Employment tenure | Alliance Data Systems Corporation - Chief Financial Officer - ts_bot - Employment tenure | 
ALL,Financials,Thomas J. Wilson II,"Chairman, Chief Executive Officer, President, Chairman of Executive Committee, Chairman of The Allstate Insurance Company, Chief Executive Officer of The Allstate Insurance Company and President of The Allstate Insurance Company,",The Allstate Corporation,University of Michigan,55,18673723,2014,2008,"2775 Sanders RoadNorthbrook, Illinois 60062United States","State Street Corporation|Allstate Life Insurance Company|Allstate Insurance Company|Allstate Life Insurance Company of New York|University of Michigan|Rush University|Federal Reserve Bank Of Chicago|J.L. Kellogg School of Management, Northwestern University|Allstate Protection Company|Rush University Medical Center|Financial Services Roundtable|Catalyst Inc.|World Business Chicago",Male,1959,United States of America,United States of America,University of Michigan,BS,Kellogg University,MBA,0.529922537,,,,49,NA
ALTR,Information Technology,John P. Daane,"Chairman, Chief Executive Officer and President,",Altera Corp.,University of California Berkeley,49,5724496,2014,2000,"101 Innovation DriveSan Jose, California 95134United States","Sequence Design, Inc.|LSI Corporation|University of California Berkeley|Semiconductor Industry Association",Male,1965,United States of America,United States of America,University of California,BA,University of California,NA,-0.085735065,,,,35,NA
MO,Consumer Staples,Martin J. Barrington,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",Altria Group Inc.,"Albany Law School Inc, The",59,20139967,2014,2012,"6601 West Broad StreetRichmond, Virginia 23230United States","Philip Morris International Management S.A.|Albany Law School Inc, The|Virginia Port Authority",Male,1955,United States of America,United States of America,College of Saint Rose,BA,Albany Law School,JD,0.097087379,,,,57,"Altria - Executive Vice President and Chief Administrative Officer - alden - Employment tenure | Altria - Chief compliance officer - alden - Employment tenure | Altria - Vice President and Associate General Counsel - alden - Employment tenure | Philip Morris International - 1998 - Senior Vice President and General Counsel - alden - Employment tenure | Philip Morris USA - 1998 - Senior Vice President, General Counsel  and Corporate Secretary - alden - Employment tenure | Philip Morris USA - Executive Vice President, Corporate Responsibility - alden - Employment tenure | Philip Morris USA - 1993 - alden - Employment tenure | "
